time,point_1,point_2,point_3
09/04/2026 01:56:02 PM,21.5,21.5,21.3
09/04/2026 01:56:15 PM,20.2,20.0,20.0
09/04/2026 01:56:21 PM,20.2,20.2,20.0
09/04/2026 02:00:34 PM,20.3,20.5,20.3
09/04/2026 02:04:03 PM,19.3,19.3,19.2
09/04/2026 02:04:34 PM,22.3,20.5,20.0
09/04/2026 02:05:03 PM,25.8,21.6,20.2
09/04/2026 02:05:39 PM,30.2,23.8,20.6
09/04/2026 02:05:52 PM,33.1,26.1,22.3
09/04/2026 02:06:12 PM,37.4,28.1,23.5
09/04/2026 02:06:33 PM,41.7,30.3,24.8
09/04/2026 02:06:53 PM,45.6,32.5,26.3
09/04/2026 02:07:18 PM,50.2,35.9,28.1
09/04/2026 02:07:39 PM,56.5,39.0,30.2
09/04/2026 02:07:58 PM,61.2,42.5,32.5
09/04/2026 02:09:03 PM,74.8,52.0,39.5
09/04/2026 02:09:38 PM,80.7,56.7,43.4
09/04/2026 02:09:58 PM,83.7,59.5,45.7
09/04/2026 02:10:15 PM,86.3,61.2,47.0
09/04/2026 02:10:37 PM,87.9,62.9,48.6
09/04/2026 02:11:01 PM,91.0,64.7,49.7
09/04/2026 02:11:35 PM,93.2,66.7,51.7
09/04/2026 02:11:56 PM,95.2,68.0,52.7
09/04/2026 02:12:17 PM,96.2,68.8,53.5
09/04/2026 02:12:50 PM,99.3,71.0,55.6
09/04/2026 02:13:12 PM,99.5,71.3,55.7
09/04/2026 02:13:36 PM,100.8,72.5,56.5
09/04/2026 02:14:05 PM,101.5,72.5,56.5
09/04/2026 02:14:25 PM,102.0,73.3,57.4
09/04/2026 02:14:48 PM,102.5,73.8,58.0
09/04/2026 02:15:10 PM,103.4,74.5,58.6
09/04/2026 02:15:48 PM,103.2,74.3,58.4
09/04/2026 02:16:15 PM,103.5,74.5,58.7
09/04/2026 02:17:01 PM,104.2,75.0,58.7
09/04/2026 02:17:30 PM,104.7,75.3,59.4
09/04/2026 02:18:02 PM,105.0,75.7,59.9
09/04/2026 02:18:21 PM,104.9,75.5,60.0
09/04/2026 02:18:44 PM,104.8,75.5,59.4
09/04/2026 02:19:09 PM,105.2,75.9,59.7
