time,point_1,point_2,point_3,point_4
09/04/2026 01:56:02 PM,21.1,21.5,21.5,21.3
09/04/2026 01:56:15 PM,19.7,20.2,20.0,20.0
09/04/2026 01:56:21 PM,19.7,20.2,20.2,20.0
09/04/2026 02:00:34 PM,21.1,20.3,20.5,20.3
09/04/2026 02:04:03 PM,21.5,19.3,19.3,19.2
09/04/2026 02:04:34 PM,23.5,22.3,21.0,20.0
09/04/2026 02:05:03 PM,25.6,25.8,21.6,20.2
09/04/2026 02:05:39 PM,29.5,30.2,23.8,20.6
09/04/2026 02:05:52 PM,31.0,33.1,26.2,22.3
09/04/2026 02:06:12 PM,35.6,37.4,28.3,23.5
09/04/2026 02:06:33 PM,36.7,41.7,30.6,24.8
09/04/2026 02:06:53 PM,39.6,45.6,32.7,26.3
09/04/2026 02:07:18 PM,41.9,50.2,36.4,28.1
09/04/2026 02:07:39 PM,48.1,56.5,39.5,30.2
09/04/2026 02:07:58 PM,47.2,61.2,42.7,32.5
09/04/2026 02:09:03 PM,57.7,74.8,52.6,39.5
09/04/2026 02:09:38 PM,62.6,80.7,57.4,43.4
09/04/2026 02:09:58 PM,79.7,83.7,60.0,45.7
09/04/2026 02:10:15 PM,74.8,86.3,61.7,47.0
09/04/2026 02:10:37 PM,73.5,87.9,63.5,48.6
09/04/2026 02:11:01 PM,86.4,91.0,65.4,49.7
09/04/2026 02:11:35 PM,85.2,93.2,67.4,51.7
09/04/2026 02:11:56 PM,99.9,95.2,68.8,52.7
09/04/2026 02:12:17 PM,73.5,96.2,69.7,53.5
09/04/2026 02:12:50 PM,92.0,99.3,71.5,55.6
09/04/2026 02:13:12 PM,78.3,99.5,72.3,55.7
09/04/2026 02:13:36 PM,85.7,100.8,73.2,56.5
09/04/2026 02:14:05 PM,87.4,101.5,73.2,56.5
09/04/2026 02:14:25 PM,91.0,102.0,74.0,57.4
09/04/2026 02:14:48 PM,86.5,102.5,74.5,58.0
09/04/2026 02:15:10 PM,90.9,103.4,75.0,58.6
09/04/2026 02:15:48 PM,93.4,103.2,74.9,58.4
09/04/2026 02:16:15 PM,95.0,103.5,75.2,58.7
09/04/2026 02:17:01 PM,101.5,104.2,75.5,58.7
09/04/2026 02:17:30 PM,99.0,104.7,76.0,59.4
09/04/2026 02:18:02 PM,94.3,105.0,76.5,59.9
09/04/2026 02:18:21 PM,95.8,104.9,76.3,60.0
09/04/2026 02:18:44 PM,100.9,104.8,76.5,59.4
09/04/2026 02:19:09 PM,97.2,105.2,76.9,59.7
